,name,year,month,"ifelse(storms$name == 'Barry',  1, 0)",hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter,Gender
46,Caroline,1975,8,28,6,22.4,-88.8,tropical depression,-1,25,1014,NA,NA,1
47,Caroline,1975,8,28,12,22.8,-90.1,tropical depression,-1,25,1013,NA,NA,1
48,Caroline,1975,8,28,18,22.9,-91,tropical depression,-1,25,1010,NA,NA,1
49,Caroline,1975,8,29,0,23,-91.9,tropical depression,-1,30,1007,NA,NA,1
50,Caroline,1975,8,29,6,23.1,-92.6,tropical storm,0,35,1003,NA,NA,1
51,Caroline,1975,8,29,12,23.2,-93.2,tropical storm,0,40,999,NA,NA,1
52,Caroline,1975,8,29,18,23.2,-93.6,tropical storm,0,50,994,NA,NA,1
53,Caroline,1975,8,30,0,23.3,-94.2,hurricane,1,65,990,NA,NA,1
54,Caroline,1975,8,30,6,23.5,-94.9,hurricane,1,65,990,NA,NA,1
55,Caroline,1975,8,30,12,23.7,-95.6,hurricane,1,65,989,NA,NA,1
56,Caroline,1975,8,30,18,23.8,-96.3,hurricane,1,70,987,NA,NA,1
57,Caroline,1975,8,31,0,24,-97,hurricane,3,100,973,NA,NA,1
58,Caroline,1975,8,31,6,24.1,-97.5,hurricane,3,100,963,NA,NA,1
59,Caroline,1975,8,31,12,24.3,-97.8,hurricane,2,90,963,NA,NA,1
60,Caroline,1975,8,31,18,24.8,-98,tropical storm,0,55,993,NA,NA,1
61,Caroline,1975,9,1,0,25.1,-98.3,tropical depression,-1,30,1000,NA,NA,1
62,Caroline,1975,9,1,6,25.2,-98.7,tropical depression,-1,20,1002,NA,NA,1
63,Caroline,1975,9,1,12,25.3,-99,tropical depression,-1,20,1002,NA,NA,1
64,Doris,1975,8,29,12,34.9,-48.9,tropical storm,0,45,1005,NA,NA,1
65,Doris,1975,8,29,18,35.2,-49.1,tropical storm,0,50,1000,NA,NA,1
66,Doris,1975,8,30,0,35.3,-48.9,tropical storm,0,55,997,NA,NA,1
67,Doris,1975,8,30,6,35.3,-48.5,tropical storm,0,55,997,NA,NA,1
68,Doris,1975,8,30,12,35.3,-48,tropical storm,0,55,997,NA,NA,1
69,Doris,1975,8,30,18,35,-47.1,tropical storm,0,55,997,NA,NA,1
70,Doris,1975,8,31,0,34.9,-46.3,hurricane,1,65,990,NA,NA,1
71,Doris,1975,8,31,6,34.8,-45.7,hurricane,1,65,990,NA,NA,1
72,Doris,1975,8,31,12,34.7,-45.2,hurricane,1,70,990,NA,NA,1
73,Doris,1975,8,31,18,34.6,-44.9,hurricane,1,70,990,NA,NA,1
74,Doris,1975,9,1,0,34.5,-44.6,hurricane,1,75,984,NA,NA,1
75,Doris,1975,9,1,6,34.6,-44.2,hurricane,1,75,984,NA,NA,1
76,Doris,1975,9,1,12,34.9,-44,hurricane,1,75,984,NA,NA,1
77,Doris,1975,9,1,18,35.4,-44,hurricane,1,75,984,NA,NA,1
78,Doris,1975,9,2,0,35.8,-44.4,hurricane,2,90,970,NA,NA,1
79,Doris,1975,9,2,6,36.4,-44.5,hurricane,2,95,965,NA,NA,1
80,Doris,1975,9,2,12,37,-44.3,hurricane,2,95,965,NA,NA,1
81,Doris,1975,9,2,18,37.7,-44.2,hurricane,2,95,965,NA,NA,1
82,Doris,1975,9,3,0,38.4,-43.8,hurricane,2,95,965,NA,NA,1
83,Doris,1975,9,3,6,39.7,-43.6,hurricane,2,95,965,NA,NA,1
84,Doris,1975,9,3,12,41.1,-43,hurricane,2,95,965,NA,NA,1
85,Doris,1975,9,3,18,42,-42.5,hurricane,2,90,970,NA,NA,1
86,Doris,1975,9,4,0,42.8,-42,tropical storm,0,60,995,NA,NA,1
87,Belle,1976,8,6,6,26,-72.8,tropical depression,-1,25,1012,NA,NA,1
88,Belle,1976,8,6,12,26.3,-73,tropical depression,-1,25,1012,NA,NA,1
89,Belle,1976,8,6,18,26,-73.4,tropical depression,-1,30,1009,NA,NA,1
90,Belle,1976,8,7,0,25.6,-73.2,tropical storm,0,40,1005,NA,NA,1
91,Belle,1976,8,7,6,26,-73.2,tropical storm,0,45,1000,NA,NA,1
92,Belle,1976,8,7,12,26.2,-73.7,tropical storm,0,55,993,NA,NA,1
93,Belle,1976,8,7,18,26.6,-74.2,hurricane,1,70,985,NA,NA,1
94,Belle,1976,8,8,0,26.9,-74.6,hurricane,1,80,972,NA,NA,1
95,Belle,1976,8,8,6,27.4,-75.1,hurricane,2,90,962,NA,NA,1
96,Belle,1976,8,8,12,28.1,-75.1,hurricane,2,95,959,NA,NA,1
97,Belle,1976,8,8,18,29.5,-75.3,hurricane,3,100,958,NA,NA,1
98,Belle,1976,8,9,0,30.9,-75.3,hurricane,3,105,957,NA,NA,1
99,Belle,1976,8,9,6,32.5,-75.2,hurricane,3,105,959,NA,NA,1
100,Belle,1976,8,9,12,34.4,-74.7,hurricane,2,95,963,NA,NA,1
101,Belle,1976,8,9,18,36.6,-74.2,hurricane,2,90,970,NA,NA,1
102,Belle,1976,8,10,0,38.8,-73.8,hurricane,1,80,977,NA,NA,1
103,Belle,1976,8,10,6,41,-73.2,tropical storm,0,60,983,NA,NA,1
104,Belle,1976,8,10,12,42.6,-72.4,tropical storm,0,35,992,NA,NA,1
105,Gloria,1976,9,26,12,23,-58,tropical depression,-1,20,1009,NA,NA,1
106,Gloria,1976,9,26,18,23.7,-58.1,tropical depression,-1,20,1007,NA,NA,1
107,Gloria,1976,9,27,0,24.3,-58.2,tropical depression,-1,25,1005,NA,NA,1
108,Gloria,1976,9,27,6,24.9,-58.1,tropical depression,-1,30,1001,NA,NA,1
109,Gloria,1976,9,27,12,25.7,-58,tropical storm,0,35,997,NA,NA,1
110,Gloria,1976,9,27,18,26.3,-58,tropical storm,0,45,994,NA,NA,1
111,Gloria,1976,9,28,0,27,-58,tropical storm,0,55,993,NA,NA,1
112,Gloria,1976,9,28,6,27.5,-58.2,tropical storm,0,60,992,NA,NA,1
113,Gloria,1976,9,28,12,27.8,-58.6,tropical storm,0,60,992,NA,NA,1
114,Gloria,1976,9,28,18,28.2,-59,tropical storm,0,60,991,NA,NA,1
115,Gloria,1976,9,29,0,28.6,-59.5,tropical storm,0,60,988,NA,NA,1
116,Gloria,1976,9,29,6,29.1,-59.8,hurricane,1,65,984,NA,NA,1
117,Gloria,1976,9,29,12,29.7,-60.2,hurricane,1,65,979,NA,NA,1
118,Gloria,1976,9,29,18,30.2,-60.3,hurricane,1,70,973,NA,NA,1
119,Gloria,1976,9,30,0,31.1,-60.2,hurricane,1,80,970,NA,NA,1
120,Gloria,1976,9,30,6,32.2,-59.8,hurricane,2,85,971,NA,NA,1
121,Gloria,1976,9,30,12,33.1,-58.8,hurricane,2,90,977,NA,NA,1
122,Gloria,1976,9,30,18,34,-57.5,hurricane,2,90,981,NA,NA,1
123,Gloria,1976,10,1,0,34.7,-56.1,hurricane,2,90,985,NA,NA,1
124,Gloria,1976,10,1,6,35.3,-54.8,hurricane,2,85,988,NA,NA,1
125,Gloria,1976,10,1,12,35.7,-53.7,hurricane,1,80,990,NA,NA,1
126,Gloria,1976,10,1,18,36.1,-52.6,hurricane,1,75,992,NA,NA,1
127,Gloria,1976,10,2,0,36.4,-51.7,hurricane,1,70,993,NA,NA,1
128,Gloria,1976,10,2,6,36.6,-50.8,tropical storm,0,60,994,NA,NA,1
129,Gloria,1976,10,2,12,36.8,-49.9,tropical storm,0,60,995,NA,NA,1
130,Gloria,1976,10,2,18,36.9,-49,tropical storm,0,55,996,NA,NA,1
131,Gloria,1976,10,3,0,36.8,-48.3,tropical storm,0,50,997,NA,NA,1
132,Gloria,1976,10,3,6,36.4,-47.6,tropical storm,0,45,998,NA,NA,1
133,Gloria,1976,10,3,12,36.2,-46.9,tropical storm,0,40,999,NA,NA,1
134,Gloria,1976,10,3,18,35.8,-45.8,tropical storm,0,40,1001,NA,NA,1
135,Gloria,1976,10,4,0,35.7,-44.6,tropical storm,0,35,1002,NA,NA,1
136,Gloria,1976,10,4,6,36,-43,tropical depression,-1,30,1003,NA,NA,1
137,Gloria,1976,10,4,12,36.5,-41.4,tropical depression,-1,30,1005,NA,NA,1
138,Gloria,1976,10,4,18,37.4,-38.7,tropical depression,-1,30,1006,NA,NA,1
139,Anita,1977,8,29,12,26.9,-88.4,tropical depression,-1,20,1012,NA,NA,1
140,Anita,1977,8,29,18,27,-88.9,tropical depression,-1,25,1010,NA,NA,1
141,Anita,1977,8,30,0,26.9,-89.4,tropical depression,-1,30,1009,NA,NA,1
142,Anita,1977,8,30,6,26.8,-89.8,tropical storm,0,40,1006,NA,NA,1
143,Anita,1977,8,30,12,26.7,-90.3,tropical storm,0,50,1003,NA,NA,1
144,Anita,1977,8,30,18,26.5,-90.6,hurricane,1,65,997,NA,NA,1
145,Anita,1977,8,31,0,26.4,-91,hurricane,1,70,991,NA,NA,1
146,Anita,1977,8,31,6,26.3,-91.4,hurricane,1,75,988,NA,NA,1
147,Anita,1977,8,31,12,26.2,-91.8,hurricane,1,75,986,NA,NA,1
148,Anita,1977,8,31,18,26.1,-92.3,hurricane,1,80,985,NA,NA,1
149,Anita,1977,9,1,0,25.9,-92.8,hurricane,1,80,979,NA,NA,1
150,Anita,1977,9,1,6,25.8,-93.7,hurricane,2,85,972,NA,NA,1
151,Anita,1977,9,1,12,25.5,-94.7,hurricane,2,90,963,NA,NA,1
152,Anita,1977,9,1,18,25.2,-95.5,hurricane,3,110,945,NA,NA,1
153,Anita,1977,9,2,0,24.6,-96.2,hurricane,5,140,931,NA,NA,1
154,Anita,1977,9,2,6,24.2,-97.1,hurricane,5,150,926,NA,NA,1
155,Anita,1977,9,2,12,23.7,-98,hurricane,4,120,940,NA,NA,1
156,Anita,1977,9,2,18,23.1,-99.2,hurricane,1,70,978,NA,NA,1
157,Anita,1977,9,3,0,22.5,-101,tropical storm,0,40,998,NA,NA,1
158,Anita,1977,9,3,6,22,-103,tropical depression,-1,25,1011,NA,NA,1
159,Clara,1977,9,5,12,32.8,-80,tropical depression,-1,20,1015,NA,NA,1
160,Clara,1977,9,5,18,33.2,-79,tropical depression,-1,20,1014,NA,NA,1
161,Clara,1977,9,6,0,33.6,-78.2,tropical depression,-1,20,1013,NA,NA,1
162,Clara,1977,9,6,6,33.8,-77.6,tropical depression,-1,25,1012,NA,NA,1
163,Clara,1977,9,6,12,34,-77,tropical depression,-1,25,1011,NA,NA,1
164,Clara,1977,9,6,18,34.2,-76.4,tropical depression,-1,25,1010,NA,NA,1
165,Clara,1977,9,7,0,34.4,-75.8,tropical depression,-1,30,1010,NA,NA,1
166,Clara,1977,9,7,6,34.6,-75,tropical depression,-1,30,1010,NA,NA,1
167,Clara,1977,9,7,12,34.7,-74.3,tropical depression,-1,30,1010,NA,NA,1
168,Clara,1977,9,7,18,34.9,-73,tropical depression,-1,30,1010,NA,NA,1
169,Clara,1977,9,8,0,35.1,-71.7,tropical storm,0,35,1006,NA,NA,1
170,Clara,1977,9,8,6,35.3,-69.7,tropical storm,0,45,1001,NA,NA,1
171,Clara,1977,9,8,12,35.5,-67.7,hurricane,1,65,993,NA,NA,1
172,Clara,1977,9,8,18,35.6,-66.2,hurricane,1,65,994,NA,NA,1
173,Clara,1977,9,9,0,35.5,-64.6,hurricane,1,65,998,NA,NA,1
174,Clara,1977,9,9,6,34.8,-63.5,tropical storm,0,60,1000,NA,NA,1
175,Clara,1977,9,9,12,34,-62.8,tropical storm,0,55,999,NA,NA,1
176,Clara,1977,9,9,18,33.4,-62.8,tropical storm,0,50,1001,NA,NA,1
177,Clara,1977,9,10,0,32.8,-63.2,tropical storm,0,45,1000,NA,NA,1
178,Clara,1977,9,10,6,32.8,-63.6,tropical storm,0,40,1000,NA,NA,1
179,Clara,1977,9,10,12,33,-63.8,tropical storm,0,45,1001,NA,NA,1
180,Clara,1977,9,10,18,33.5,-63.7,tropical storm,0,45,1001,NA,NA,1
181,Clara,1977,9,11,0,34.2,-63.2,tropical storm,0,45,1002,NA,NA,1
182,Clara,1977,9,11,6,34.8,-62.5,tropical storm,0,45,1002,NA,NA,1
183,Evelyn,1977,10,13,18,26.9,-62.9,tropical depression,-1,30,1010,NA,NA,1
184,Evelyn,1977,10,14,0,29,-64,tropical depression,-1,30,1008,NA,NA,1
185,Evelyn,1977,10,14,6,30.9,-64.9,tropical storm,0,35,1005,NA,NA,1
186,Evelyn,1977,10,14,12,33,-64.9,tropical storm,0,40,1002,NA,NA,1
187,Evelyn,1977,10,14,18,35.9,-64.4,tropical storm,0,50,999,NA,NA,1
188,Evelyn,1977,10,15,0,39.2,-63.3,hurricane,1,65,994,NA,NA,1
189,Evelyn,1977,10,15,6,42.4,-61.5,hurricane,1,70,996,NA,NA,1
190,Evelyn,1977,10,15,12,45.5,-60.1,hurricane,1,70,998,NA,NA,1
191,Evelyn,1977,10,15,18,47.4,-59.2,hurricane,1,70,999,NA,NA,1
192,Amelia,1978,7,30,18,25.7,-97,tropical depression,-1,30,1006,NA,NA,1
193,Amelia,1978,7,31,0,26.4,-97.4,tropical storm,0,45,1005,NA,NA,1
194,Amelia,1978,7,31,6,27.2,-97.8,tropical storm,0,40,1007,NA,NA,1
195,Amelia,1978,7,31,12,28,-98.2,tropical storm,0,35,1008,NA,NA,1
196,Amelia,1978,7,31,18,28.6,-98.7,tropical depression,-1,30,1010,NA,NA,1
197,Amelia,1978,8,1,0,29.3,-99.2,tropical depression,-1,25,1010,NA,NA,1
198,Bess,1978,8,5,12,25.3,-90.4,tropical depression,-1,20,1012,NA,NA,1
199,Bess,1978,8,5,18,25.1,-91,tropical depression,-1,20,1012,NA,NA,1
200,Bess,1978,8,6,0,24.8,-91.8,tropical depression,-1,25,1011,NA,NA,1
201,Bess,1978,8,6,6,24.5,-92.5,tropical depression,-1,30,1010,NA,NA,1
202,Bess,1978,8,6,12,24.2,-93.3,tropical depression,-1,30,1009,NA,NA,1
203,Bess,1978,8,6,18,23.9,-94,tropical storm,0,35,1008,NA,NA,1
204,Bess,1978,8,7,0,23.3,-95,tropical storm,0,40,1007,NA,NA,1
205,Bess,1978,8,7,6,22.8,-95.7,tropical storm,0,40,1006,NA,NA,1
206,Bess,1978,8,7,12,22.2,-96.2,tropical storm,0,40,1005,NA,NA,1
207,Bess,1978,8,7,18,21.6,-96.6,tropical storm,0,45,1006,NA,NA,1
208,Bess,1978,8,8,0,21.1,-96.8,tropical storm,0,45,1007,NA,NA,1
209,Bess,1978,8,8,6,20.4,-96.9,tropical storm,0,40,1008,NA,NA,1
210,Bess,1978,8,8,12,20,-97,tropical depression,-1,25,1010,NA,NA,1
211,Cora,1978,8,7,12,13,-35,tropical depression,-1,25,1010,NA,NA,1
212,Cora,1978,8,7,18,13.4,-36.2,tropical depression,-1,25,1010,NA,NA,1
213,Cora,1978,8,8,0,13.8,-37.8,tropical depression,-1,25,1009,NA,NA,1
214,Cora,1978,8,8,6,13.9,-39.6,tropical depression,-1,30,1008,NA,NA,1
215,Cora,1978,8,8,12,14,-41.5,tropical storm,0,50,1003,NA,NA,1
216,Cora,1978,8,8,18,14,-43.2,hurricane,1,65,990,NA,NA,1
217,Cora,1978,8,9,0,14,-44.9,hurricane,1,80,980,NA,NA,1
218,Cora,1978,8,9,6,13.9,-46.8,hurricane,1,80,980,NA,NA,1
219,Cora,1978,8,9,12,13.6,-48.6,hurricane,1,70,988,NA,NA,1
220,Cora,1978,8,9,18,13.2,-50.6,hurricane,1,65,998,NA,NA,1
221,Cora,1978,8,10,0,12.8,-52.8,tropical storm,0,60,1006,NA,NA,1
222,Cora,1978,8,10,6,12.4,-54.8,tropical storm,0,55,1007,NA,NA,1
223,Cora,1978,8,10,12,12.2,-56.8,tropical storm,0,55,1007,NA,NA,1
224,Cora,1978,8,10,18,12.1,-58.8,tropical storm,0,50,1008,NA,NA,1
225,Cora,1978,8,11,0,12,-60.9,tropical storm,0,45,1008,NA,NA,1
226,Cora,1978,8,11,6,12,-62.8,tropical storm,0,35,1008,NA,NA,1
227,Cora,1978,8,11,12,12.1,-64.8,tropical depression,-1,30,1008,NA,NA,1
228,Cora,1978,8,11,18,12.1,-66.8,tropical depression,-1,30,1009,NA,NA,1
229,Cora,1978,8,12,0,12.2,-68.8,tropical depression,-1,30,1010,NA,NA,1
230,Juliet,1978,10,7,18,18,-55.6,tropical depression,-1,25,1011,NA,NA,1
231,Juliet,1978,10,8,0,18.3,-56.6,tropical depression,-1,30,1010,NA,NA,1
232,Juliet,1978,10,8,6,18.6,-57.7,tropical depression,-1,30,1009,NA,NA,1
233,Juliet,1978,10,8,12,18.8,-58.7,tropical storm,0,35,1008,NA,NA,1
234,Juliet,1978,10,8,18,19,-59.8,tropical storm,0,40,1007,NA,NA,1
235,Juliet,1978,10,9,0,19.3,-60.9,tropical storm,0,45,1006,NA,NA,1
236,Juliet,1978,10,9,6,19.7,-62,tropical storm,0,45,1006,NA,NA,1
237,Juliet,1978,10,9,12,19.9,-63,tropical storm,0,45,1006,NA,NA,1
238,Juliet,1978,10,9,18,20.3,-64.2,tropical storm,0,45,1006,NA,NA,1
239,Juliet,1978,10,10,0,20.9,-65.4,tropical storm,0,45,1006,NA,NA,1
240,Juliet,1978,10,10,6,21.7,-67,tropical storm,0,45,1006,NA,NA,1
241,Juliet,1978,10,10,12,22.8,-68.8,tropical storm,0,45,1006,NA,NA,1
242,Juliet,1978,10,10,18,24.3,-70.1,tropical storm,0,45,1006,NA,NA,1
243,Juliet,1978,10,11,0,26.2,-70.9,tropical storm,0,45,1006,NA,NA,1
244,Juliet,1978,10,11,6,28.3,-71,tropical storm,0,40,1006,NA,NA,1
245,Juliet,1978,10,11,12,30.2,-69.9,tropical storm,0,35,1006,NA,NA,1
246,Ana,1979,6,19,12,10,-45,tropical depression,-1,25,1011,NA,NA,1
247,Ana,1979,6,19,18,10.2,-46,tropical depression,-1,25,1011,NA,NA,1
248,Ana,1979,6,20,0,10.5,-47,tropical depression,-1,25,1010,NA,NA,1
249,Ana,1979,6,20,6,10.9,-48.1,tropical depression,-1,25,1010,NA,NA,1
250,Ana,1979,6,20,12,11.3,-49.2,tropical depression,-1,25,1010,NA,NA,1
251,Ana,1979,6,20,18,11.8,-50.2,tropical depression,-1,25,1009,NA,NA,1
252,Ana,1979,6,21,0,12.3,-51.1,tropical depression,-1,30,1009,NA,NA,1
253,Ana,1979,6,21,6,12.9,-51.9,tropical depression,-1,30,1008,NA,NA,1
254,Ana,1979,6,21,12,13.5,-52.7,tropical depression,-1,30,1008,NA,NA,1
255,Ana,1979,6,21,18,13.9,-53.5,tropical depression,-1,30,1007,NA,NA,1
256,Ana,1979,6,22,0,14.2,-54.7,tropical storm,0,35,1007,NA,NA,1
257,Ana,1979,6,22,6,14.2,-55.8,tropical storm,0,40,1005,NA,NA,1
258,Ana,1979,6,22,12,14.2,-56.9,tropical storm,0,50,1006,NA,NA,1
259,Ana,1979,6,22,18,14.1,-58.3,tropical storm,0,40,1008,NA,NA,1
260,Ana,1979,6,23,0,14.1,-59.8,tropical storm,0,35,1010,NA,NA,1
261,Ana,1979,6,23,6,14,-61.3,tropical depression,-1,30,1012,NA,NA,1
262,Ana,1979,6,23,12,14,-62.8,tropical depression,-1,25,1012,NA,NA,1
263,Ana,1979,6,23,18,14,-64.5,tropical depression,-1,25,1012,NA,NA,1
264,Ana,1979,6,24,0,14,-66.2,tropical depression,-1,25,1012,NA,NA,1
265,Bob,1979,7,9,12,22,-96,tropical depression,-1,20,1012,NA,NA,0
266,Bob,1979,7,9,18,22.5,-95.3,tropical depression,-1,25,1010,NA,NA,0
267,Bob,1979,7,10,0,23,-94.6,tropical depression,-1,30,1007,NA,NA,0
268,Bob,1979,7,10,6,23.5,-93.8,tropical storm,0,35,1004,NA,NA,0
269,Bob,1979,7,10,12,24,-93,tropical storm,0,50,998,NA,NA,0
270,Bob,1979,7,10,18,25,-92.3,tropical storm,0,55,996,NA,NA,0
271,Bob,1979,7,11,0,26.2,-91.6,hurricane,1,65,988,NA,NA,0
272,Bob,1979,7,11,6,27.8,-91.1,hurricane,1,65,991,NA,NA,0
273,Bob,1979,7,11,12,29.1,-90.6,hurricane,1,65,986,NA,NA,0
274,Bob,1979,7,11,18,31,-90.2,tropical storm,0,40,992,NA,NA,0
275,Bob,1979,7,12,0,32.5,-89.9,tropical depression,-1,30,998,NA,NA,0
276,Bob,1979,7,12,6,34,-89.7,tropical depression,-1,25,1002,NA,NA,0
277,Bob,1979,7,12,12,35.9,-89.1,tropical depression,-1,25,1004,NA,NA,0
278,Bob,1979,7,12,18,37.2,-87.8,tropical depression,-1,25,1006,NA,NA,0
279,Bob,1979,7,13,0,38.5,-86.5,tropical depression,-1,25,1006,NA,NA,0
280,Bob,1979,7,13,6,38.8,-85.3,tropical depression,-1,25,1006,NA,NA,0
281,Bob,1979,7,13,12,39,-84,tropical depression,-1,25,1007,NA,NA,0
282,Bob,1979,7,13,18,39,-82.7,tropical depression,-1,25,1008,NA,NA,0
283,Bob,1979,7,14,0,39,-81.3,tropical depression,-1,20,1009,NA,NA,0
284,Bob,1979,7,14,6,38.7,-80.1,tropical depression,-1,20,1009,NA,NA,0
285,Bob,1979,7,14,12,38.3,-78.8,tropical depression,-1,20,1010,NA,NA,0
286,Bob,1979,7,14,18,37.9,-77.7,tropical depression,-1,20,1010,NA,NA,0
287,Bob,1979,7,15,0,37.5,-76.5,tropical depression,-1,20,1011,NA,NA,0
288,Bob,1979,7,15,6,36.8,-76.3,tropical depression,-1,20,1011,NA,NA,0
289,Bob,1979,7,15,12,36,-76,tropical depression,-1,20,1012,NA,NA,0
290,Bob,1979,7,15,18,35,-76.3,tropical depression,-1,20,1012,NA,NA,0
291,Bob,1979,7,16,0,34,-76.5,tropical depression,-1,20,1013,NA,NA,0
292,Bob,1979,7,16,6,33.5,-75.8,tropical depression,-1,20,1013,NA,NA,0
293,Bob,1979,7,16,12,33,-75,tropical depression,-1,20,1014,NA,NA,0
294,Claudette,1979,7,15,12,12.5,-46.3,tropical depression,-1,20,1014,NA,NA,1
295,Claudette,1979,7,15,18,12.8,-48.4,tropical depression,-1,20,1014,NA,NA,1
296,Claudette,1979,7,16,0,13.4,-50.4,tropical depression,-1,25,1012,NA,NA,1
297,Claudette,1979,7,16,6,14.6,-52.1,tropical depression,-1,25,1012,NA,NA,1
298,Claudette,1979,7,16,12,15.7,-53.8,tropical depression,-1,30,1011,NA,NA,1
299,Claudette,1979,7,16,18,16.5,-55.5,tropical depression,-1,30,1011,NA,NA,1
300,Claudette,1979,7,17,0,17,-57.2,tropical depression,-1,30,1011,NA,NA,1
301,Claudette,1979,7,17,6,17.5,-58.8,tropical depression,-1,30,1011,NA,NA,1
302,Claudette,1979,7,17,12,17.8,-60.3,tropical storm,0,35,1011,NA,NA,1
303,Claudette,1979,7,17,18,18,-62.1,tropical storm,0,40,1010,NA,NA,1
304,Claudette,1979,7,18,0,18.2,-63.8,tropical storm,0,35,1010,NA,NA,1
305,Claudette,1979,7,18,6,18.3,-65.4,tropical depression,-1,30,1011,NA,NA,1
306,Claudette,1979,7,18,12,18.4,-67,tropical depression,-1,30,1011,NA,NA,1
307,Claudette,1979,7,18,18,18.5,-68.5,tropical depression,-1,25,1012,NA,NA,1
308,Claudette,1979,7,19,0,18.7,-69.5,tropical depression,-1,20,1012,NA,NA,1
309,Claudette,1979,7,19,6,18.8,-70.5,tropical depression,-1,20,1012,NA,NA,1
310,Claudette,1979,7,19,12,18.8,-71.4,tropical depression,-1,20,1012,NA,NA,1
311,Claudette,1979,7,19,18,19,-72.4,tropical depression,-1,20,1012,NA,NA,1
